bisognare	VER:cimp
servire	VER:pres
caso	NOM
curiosamente	ADV
discendente	NOM
allarmante	ADJ
libertà	NOM
interrogazione	NOM
chissà	ADV
codardia	NOM
cento	ADJ
spina	NOM
nascondere	VER:pres
annoiare	VER:pper
mistero	NOM
maggiormente	ADV
enzima	NOM
rendere	VER:pres
sopracciglio	NOM
prenotazione	NOM
avvicinare	VER:pper
esperienza	NOM
reincarnazione	NOM
turno	NOM
mondiale	ADJ
rimbalzare	VER:pres
contattare	VER:pres
affidare	VER:pper
caratteristica	NOM
commercio	NOM
parsimonioso	ADJ
nemmeno	ADV
convincere	VER:infi
zampa	NOM
smog	NOM
caratteristico	ADJ
disturbo	NOM
acustico	ADJ
ostacolare	VER:pres
sogno	NOM
aumentare	VER:pper
movimento	NOM
velocemente	ADV
aggiunta	NOM
cui	PRO:rela
aumentare	VER:pres
riuscire	VER:cond
dimagrante	ADJ
viso	NOM
quattro	ADJ
mandare	VER:pper
autista	NOM
artistico	ADJ
desiderare	VER:infi
curiosità	NOM
comporre	VER:infi
motivazione	NOM
migliore	ADJ
scusa	NOM
cosiddetto	ADJ
gemello	NOM
rischiare	VER:pres
scomparso	ADJ
avventura	NOM
altrimenti	ADV
astro	NOM
soluzione	NOM
scambio	NOM
sentimento	NOM
catechina	NOM
cortese	ADJ
dirigere	VER:remo
cespuglio	NOM
consiglio	NPR
alternativa	NOM
diventare	VER:infi
contare	VER:pres
ventilato	ADJ
professione	NOM
archeologia	NOM
cercatore	NOM
oroscopo	NOM
recente	ADJ
superbia	NOM
significativo	ADJ
illustre	ADJ
crescere	VER:infi
apprezzare	VER:infi
prenotato	ADJ
dimostrare	VER:pres
vestire	VER:pres
radicalmente	ADV
dignitosamente	ADJ
aggiungere	VER:infi
basare	VER:pres
temere	VER:infi
necessario	ADJ
lotteria	NOM
riscontro	NOM
decidere	VER:infi
secolo	NOM
successo	NOM
offendere	VER:pres
discount	NOM
lotto	NOM
timidezza	NOM
unico	ADJ
direttamente	ADV
regista	NOM
vista	NOM
chiuso	ADJ
concentrare	VER:pres
poté	NOM
vincere	VER:pper
costruire	VER:cond
spaventare	VER:infi
raccontare	VER:remo
comunicazione	NOM
duramente	ADV
cittadino	NOM
impoverire	VER:pper
grammatica	NOM
profano	NOM
socializzare	VER:infi
familiare	NOM
parecchio	ADJ
proporre	VER:remo
fondare	VER:infi
steccato	NOM
motto	NOM
riconoscere	VER:pper
territorio	NOM
arricchire	VER:pper
impedire	VER:pres
derubare	VER:pper
scendere	VER:pper
bilancio	NOM
sguardo	NOM
furto	NOM
accogliere	VER:pper
sensibilizzazione	NOM
attesa	NOM
scolpito	ADJ
pallino	NOM
interessare	VER:cond
imbianchino	NOM
diventare	VER:pper
scorgere	VER:pper
vegetale	ADJ
conveniente	ADJ
locale	NOM
voto	NOM
cervo	NOM
rubare	VER:pper
preside	NOM
ricostituire	VER:infi
ottanta	ADJ
percorso	NOM
impero	NOM
asino	NOM
fattorino	NOM
influire	VER:cpre
accorgersi	VER:infi
successivamente	ADV
pepita	NOM
trattare	VER:pres
passaggio	NOM
popolazione	NOM
cinese	NOM
costoso	ADJ
navigare	VER:infi
condizionare	VER:pres
delicato	ADJ
magnifico	NOM
gemellare	VER:pper
aumento	NOM
sognare	VER:pres
due	ADJ
antiquario	NOM
accorrere	VER:pper
lottare	VER:pres
implorare	VER:remo
complesso	ADJ
evolutivo	ADJ
permettere	VER:pper
scontato	ADJ
qualità	NOM
insomma	ADV
diritto	NOM
fucile	NOM
storiella	NOM
inglese	NOM
conoscenza	NOM
ricevuta	NOM
rientrare	VER:futu
turismo	NOM
segreto	NOM
ovviamente	ADV
cuoio	NOM
crollare	VER:pper
concentrazione	NOM
grosso	ADJ
contare	VER:infi
presidente	NOM
applicato	ADJ
personale	ADJ
riordinare	VER:infi
fastidioso	ADJ
riciclabili	ADJ
capitare	VER:impf
capricorno	NOM
vita	NOM
grotta	NOM
partecipare	VER:remo
ingegneria	NOM
mancare	VER:impf
fenomeno	NOM
disegno	NOM
incontro	NOM
falda	NOM
semplificare	VER:infi
differente	ADJ
bocciare	VER:pper
cadere	VER:remo
osservatorio	NOM
misura	NOM
alligatore	NOM
sporgere	VER:infi
atmosfera	NOM
poveraccio	NOM
famoso	ADJ
improvviso	NOM
monitorare	VER:pper
passerella	NOM
manifestare	VER:pres
spagnolo	ADJ
competitivo	ADJ
euforia	NOM
cerca	NOM
testimonianza	NOM
romanzo	NOM
festival	NOM
orgoglio	NOM
riparare	VER:pper
realizzare	VER:pper
pianeta	NOM
istituto	NOM
richiesta	NOM
apparire	VER:impf
neppure	ADV
duro	ADJ
creare	VER:pres
svenire	VER:remo
preservare	VER:infi
rivelare	VER:remo
confortevole	ADJ
trasferire	VER:remo
liquido	NOM
informatico	ADJ
ala	NOM
accadere	VER:remo
inno	NOM
laureare	VER:pper
estetica	NOM
strumento	NOM
nascondere	VER:infi
dimostrare	VER:pper
formazione	NOM
ritenere	VER:pres
vario	ADJ
cadere	VER:pres
permettere	VER:pres
diffusione	NOM
re	NOM
costruire	VER:infi
radunare	VER:pper
persino	ADV
ricadere	VER:pres
politico	NOM
sicuramente	ADV
fantasia	NOM
progettazione	NOM
burocrazia	NOM
bordo	NOM
ne	ADV
contrario	NOM
acquifero	ADJ
affascinante	ADJ
indispensabile	ADJ
importanza	NOM
condizionare	VER:pper
motivo	NOM
riflettere	VER:infi
scientifico	ADJ
necessitare	VER:pres
ostruire	VER:pper
titolo	NOM
personale	NOM
raggiungere	VER:pper
ultimamente	ADV
scottare	VER:impf
avviso	NOM
cadere	VER:infi
specifico	ADJ
romano	ADJ
consiglio	NOM
seguito	NOM
favorire	VER:pres
egoismo	NOM
dopobarba	NOM
rubare	VER:remo
triennale	ADJ
tomba	NOM
afferrare	VER:infi
tesoro	NOM
aritmetica	NOM
riuscire	VER:pper
discutere	VER:geru
insuccesso	NOM
tedesco	ADJ
economico	ADJ
sudare	VER:pres
locale	ADJ
ininterrottamente	ADV
fosso	NOM
alternare	VER:futu
bastare	VER:pres
scrittore	NOM
meteo	NOM
usanza	NOM
tradizionale	ADJ
dapprima	ADV
punire	VER:pper
fuggire	VER:pper
indagare	VER:infi
traccia	NOM
faunistico	ADJ
fondazione	NOM
pianista	NOM
raccontare	VER:infi
passante	NOM
articolare	VER:pres
distruggere	VER:infi
viaggi	NOM
sostenibilità	NOM
intervistatore	NOM
terzo	ADJ
sconsiderato	ADJ
dieci	ADJ
ripiego	NOM
dato	NOM
generosità	NOM
incubo	NOM
settore	NOM
apparire	VER:infi
fondale	NOM
confronto	NOM
invidia	NOM
consumo	NOM
modo	NOM
comunicativo	ADJ
questione	NOM
dolorante	ADJ
ripiegare	VER:infi
desistere	VER:infi
esponente	NOM
particolare	ADJ
meraviglioso	ADJ
sepolto	NOM
controllare	VER:impf
