LEMMA,POS,SENT_ID,AS_IS?,SENT_ID,AS_IS?,SENT_ID,AS_IS?,ENOUGH_CONTEXT_SENTENCES?,
bordo,NOM,1762730,no,969950,yes,,,,
alternare,VER,3030534,yes,,,,,,
personalmente,ADV,503559,yes,2224274,yes,977536,yes,X,
riportare,VER,2131271,yes,10367770,yes,9203906,no,X,
sbagliato,ADJ,715238,yes,2280447,yes,978799,yes,X,
presentazione ,NOM,1250946,yes,,,,,,
limitare,VER,2187674,no,1851297,yes,3410472,no,X,
semplice,ADJ,4391370,yes,2990713,yes,1687448,yes,X,
cliente,NOM,1005627,yes,5364183,yes,1622817,yes,X,
corte,NOM,9214787,yes,9853032,yes,10251011,yes,X,
fissare,VER,1777042,yes,438669,yes,2421233,yes,X,
comunicare,VER,1758803,yes,1878306,yes,3352980,yes,X,
impiegare,VER,2028978,yes,1776893,yes,9645126,no,X,
coperto,ADJ,9719787,yes,9156634,no,10057705,no,X,
severo,ADJ,387331,yes,1032314,yes,10386392,,X,
fisica,NOM,10060416,,10059720,,10033932,,X,
caratteristica,NOM,2112390,yes,1872727,yes,2427303,yes,X,
spina,NOM,664230,yes,9298185,,9280432,,X,
impaziente,ADJ,9668871,,10370594,,9191635,,X,
improvviso,ADJ,948240,yes,713993,yes,706823,yes,X,
ricostituire,VER,,,,,,,,
sottovalutare,VER,755767,yes,9321609,yes,9116454,no,X,
fastidio,NOM,9001356,no,3343479,no,9949097,,X,
legato,ADJ,9000446,no,10305040,,10271173,,X,
liceo,NOM,539006,yes,9730147,,10157205,,X,
oceano,NOM,967363,yes,7893555,yes,10060530,,X,
allestire,VER,,,,,,,,
stabilire,VER,,,,,,,,
ingiustizia,NOM,6954345,yes,9675069,,9123291,,X,
furbo,ADJ,2474495,yes,3094002,yes,9865794,,X,
discendente,NOM,9365901,,10466087,,9365959,,X,
risultare,VER,701134,yes,2231902,yes,2421425,no,X,
abitudine,NOM,1295830,yes,955236,yes,4908210,yes,X,
smarrimento,NOM,,,,,,,,
