LEMMA,POS,SENT_ID,,SENT_ID,,SENT_ID,,ENOUGH_CONTEXT_SENTENCES?,“POLYSEMY”,,
bordo,NOM,1762730,,969950,,10444760,,X,,,
alternare,VER,3030534,,,,,,,,,
personalmente,ADV,503559,,2224274,,977536,,X,,,
riportare,VER,2131271,,9356818,,9365936,,X,,,
sbagliato,ADJ,715238,,2280447,,978799,,X,,,
presentazione ,NOM,1250946,,10463621,,10286047,,X,,,
limitare,VER,2187674,,1851297,,3410472,,X,,,
semplice,ADJ,4391370,,2990713,,1687448,,X,,,
cliente,NOM,1005627,,5364183,,1622817,,X,,,
corte,NOM,9853032,,9214787,,9278526,,X,,,
fissare,VER,9261927,,9929743,,,,,qualcosa si fissa nella memoria,,
comunicare,VER,1758803,,1878306,,3352980,,X,,,
impiegare,VER,2028978,,1776893,,10025446,,X,impiegare del tempo,,
coperto,ADJ,9320653,,9156634,,10057705,,X,,,
severo,ADJ,387331,,1032314,,10386392,,X,,,
fisica,NOM,10261471,,10094482,,10056976,,X,,,
caratteristica,NOM,2112390,,1872727,,2427303,,X,,,
spina,NOM,664230,,9280432,,,,,,,
impaziente,ADJ,9185742,,10010350,,9668871,,X,,,
improvviso,ADJ,948240,,713993,,706823,,X,,,
ricostituire,VER,,,,,,,,,,
sottovalutare,VER,755767,,10146768,,10343925,,X,,,
fastidio,NOM,9949097,,9409126,,9500064,,X,,,
legato,ADJ,9148556,,10305040,,9519706,,X,"legata alla tradizione, luoghi legati a Leonardo",,
liceo,NOM,539006,,10157205,,9647267,,X,,,
oceano,NOM,967363,,7893555,,10060530,,X,,,
allestire,VER,,,,,,,,,,
stabilire,VER,,,,,,,,"stabilirsi in un luogo, rimanere lì fissi",,
ingiustizia,NOM,9421851,,9675069,,,,,,,
furbo,ADJ,2474495,,3094002,,10002121,,X,,,
discendente,NOM,,,,,,,,,,
risultare,VER,701134,,9107434,,9661735,,X,,,
abitudine,NOM,1295830,,955236,,4908210,,X,,,
smarrimento,NOM,,,,,,,,,,
ciliegio,NOM,,,,,,,,,,
