occorrere	VER	Per tutto questo ci occorrono personalità convincenti che rappresentino l'Europa e che siano rispettate da tutte le parti in conflitto in Medio Oriente.	occorrono	Für all dies brauchen wir überzeugende Persönlichkeiten, die Europa repräsentieren und von allen Parteien des Nahostkonflikts auch ernst genommen werden.	brauchen	Occorre tramandarsi competenze e conoscenze di generazione in generazione.	Occorre	Es ist erforderlich, Kompetenzen und Kenntnisse von Generation zu Generation weiterzugegeben.	ist erforderlich	Credo che occorra un rinnovamento dalle basi.	occorra	Ich glaube, eine Erneuerung von Grund auf ist erforderlich.	ist erforderlich
riversare	VER	Chi ha avuto la sciagurata idea di riversare i liquami nel fiume?	riversare	Wer hatte die unglückliche Idee, das Abwasser in den Fluss zu schütten?	schütten	N/A	N/A	N/A		N/A	N/A	N/A	
paese	NOM	La Russia è il paese più grande del mondo e il Vaticano è il più piccolo.	paese	Russland ist das größte Land der Welt und der Vatikan ist das kleinste Land der Welt.	Land	Il re governò il paese.	paese	Der König regierte das Land.	Land	Un passaporto è una cosa senza la quale non puoi andare in un paese straniero.	paese	Ein Pass ist etwas, ohne das man nicht in ein anderes Land kommt.	Land
ne	ADV	Che ne dici di mangiare fuori stasera tanto per cambiare?	ne	Was hältst du davon, wenn wir heute Abend zur Abwechslung mal draußen essen?	davon	Ne ho mangiato metà.	Ne	Ich habe die Hälfte davon gegessen.	davon	Essi non ne parlano, ma si può vedere.	ne	Sie sprechen nicht darüber, aber man kann es sehen.	darüber
sognare	VER	Pensiamo, sogniamo e ricordiamo in immagini e ne portiamo con noi un grande archivio interno.	sogniamo	Wir denken, träumen und erinnern uns in Bildern und tragen in uns ein großes inneres Archiv.	träumen	La scorsa notte ho sognato degli animali selvatici.	sognato	Ich habe in der letzten Nacht von wilden Tieren geträumt.	geträumt	Come potrei essere un robot? I robot non sognano.	sognano	Wie könnte ich ein Roboter sein? Roboter träumen nicht.	träumen
foresta	NOM	Due piccoli scoiattoli, uno scoiattolo bianco e uno scoiattolo nero, vivevano in una vasta foresta.	foresta	Zwei kleine Eichhörnchen, ein weißes und ein schwarzes, lebten in einem großen Wald.	Wald	Nella foresta, c'erano molti di funghi cresciuti immediatamente dopo una calda pioggia estiva.	foresta	Im Wald gab es viele Pilze, die unmittelbar nach einem warmen Sommerregen gewachsen waren.	Wald	Un terzo del territorio della Svizzera è coperto da foreste.	foreste	Ein Drittel des Territoriums der Schweiz ist von Wäldern bedeckt.	Wäldern
inventare	VER	Ha inventato un nuovo motore che non ha bisogno di benzina.	inventato	Sie hat einen neuen Motor erfunden, der ohne Benzin auskommt.	erfunden	Voi lo sapete chi ha inventato la macchina?	inventato	Weißt du, wer die Maschine erfunden hat?	erfunden	Edison ha inventato molte cose utili.	inventato	Edison hat eine Reihe nützlicher Dinge erfunden.	erfunden
comitato	NOM	Il comitato di pianificazione si è riunito sei volte nel corso di dieci mesi.	comitato	Die Planungskommission tagte innerhalb von zehn Monaten sechs Mal.	kommission	Il comitato di pianificazione urbana ha accettato la nostra proposta.	comitato	Der Ausschuss für Stadtplanung hat unseren Vorschlag akzeptiert.	Ausschuss	Il mio comitato non si occupa di stanziamenti, ma solo di come questi vengono spesi.	comitato	Mein Komitee vergibt keine Fördermittel, es prüft nur ihre Verwendung.	Komitee
intervento	NOM	Non è però previsto alcun intervento dei vigili del fuoco, né tantomeno una soluzione.	intervento	Es ist aber kein Einsatz einer Feuerwehr in Sicht und schon gar keine Lösung.	Einsatz	N/A	N/A	N/A		N/A	N/A	N/A	
ordine	NOM	Maria ha orrore di qualunque segno di caos. Le piace quando tutto è in un ordine definito.	ordine	Maria hat einen Horror vor jedwedem Anzeichen von Chaos. Sie mag es, wenn alles seine Ordnung hat.	Ordnung	Quando ci sono troppe cose in casa, è impossibile creare davvero ordine in essa.	ordine	Sind zu viele Dinge im Haus, ist es unmöglich, darin wirklich Ordnung zu schaffen.	Ordnung	Tutti i nomi sono elencati in ordine alfabetico.	ordine	Alle Namen sind in alphabetischer Reihenfolge aufgelistet.	Reihenfolge
lotteria	NOM	Ma chi vincerà alla lotteria e chi perderà?	lotteria	Aber wer gewinnt die Lotterie und wer verliert?	Lotterie	Non compro biglietti della lotteria.	lotteria	Ich kaufe keine Lose für die Lotterie.	Lotterie	N/A	N/A	N/A	
coccolare	VER	Appena arrivato a casa mi sono messo a coccolare il mio cucciolo.	coccolare	Sobald ich nach Hause kam, fing ich an, meinen Welpen zu kuscheln.	kuscheln	N/A	N/A	N/A		N/A	N/A	N/A	
concedere	VER	Oggi ho studiato molto. Adesso mi concedo una pausa!	concedo	Heute habe ich viel gelernt. Jetzt gönne ich mir eine Pause	gönne	Le banche non concedono più i mutui.	concedono	Die Banken gewähren keine Kredite mehr.	gewähren	Leggere è un piacere che non tutti si concedono.	concedono	Das Lesen ist ein Vergnügen, das sich nicht alle gönnen.	gönnen
preparativo	NOM	In tutto il paese vengono fatti dei preparativi per la celebrazione del sessantanovesimo anniversario della vittoria sul fascismo.	preparativi	Überall im Land laufen die Vorbereitungen für die Feierlichkeiten zum 69. Jahrestag des Sieges über den Faschismus.	Vorbereitungen	N/A	N/A	N/A		N/A	N/A	N/A	
causa	NOM	La causa dell'incidente non è ancora chiara.	causa	Die Unfallursache ist noch immer nicht klar.	ursache	L'aeroporto è stato chiuso a causa della nebbia.	causa	Der Flughafen war auf Grund des Nebels gesperrt.	Grund	Il fumo è la causa maggiore del tumore ai polmoni.	causa	Rauchen ist die Hauptursache für Lungenkrebs.	ursache
astro	NOM	La luna fa sognare gli innamorati, per gli astronomi è solo un astro.	astro	Der Mond lässt Liebende träumen, für Astronomen ist er nur ein Stern.	Stern	N/A	N/A	N/A		N/A	N/A	N/A	
rubrica	NOM	Ho scritto una serie di articoli che finalmente hanno fruttato una rubrica regolare.	rubrica	Ich habe eine Reihe von Artikeln geschrieben, aus denen schließlich eine regelmäßig erscheinende Kolumne wurde.	Kolumne	N/A	N/A	N/A		N/A	N/A	N/A	
accettare	VER	Ora basta! O tu accetti o rifiuti la mia proposta.	accetti	Jetzt reicht es mir! Entweder du akzeptierst meinen Vorschlag oder nicht.	akzeptierst	Questo ristorante accetta soltanto contanti.	accetta	Dieses Restaurant akzeptiert nur Bargeld.	akzeptiert	Pensò che sarebbe stato saggio accettare l'offerta.	accettare	Er dachte, es sei klug, das Angebot zu akzeptieren.	akzeptieren
convinto	ADJ	Portò dei pezzi di roccia da analizzare convinto che fossero preziosi.	convinto	Er brachte Felsstücke zum Testen her. Er war überzeugt, sie seien wertvoll.	überzeugt	Mi aveva quasi convinto che si fosse trattato di un errore.	convinto	Er hatte mich fast überzeugt, dass es sich um einen Fehler handelt.	überzeugt	Era convinto che ora lei lo amava perché era incinta di lui.	convinto	Jetzt war er überzeugt, dass sie ihn liebte, weil sie sein Kind trug.	überzeugt
ininterrottamente	ADV	Ha piovuto ininterrottamente durante tutta la settimana scorsa.	ininterrottamente	Es hat während der gesamten vergangenen Woche ununterbrochen geregnet.	ununterbrochen	Alcuni animali dormono ininterrottamente per tutto l'inverno.	ininterrottamente	Einige Tiere schlafen ununterbrochen den ganzen Winter lang.	ununterbrochen	Ecco a Lei i documenti. Ci lavoro ininterrottamente da sabato.	ininterrottamente	Hier sind die Dokumente. Ich habe seit Samstag ununterbrochen daran gearbeitet.	ununterbrochen
ripiegare	VER	Sopra alla vetta c'era un vento fortissimo, tanto che dovemmo ripiegare e tornare sui nostri passi.	ripiegare	Der Wind war über dem Gipfel so stark, dass wir uns zurückziehen und unsere Schritte zurückverfolgen mussten.	zurückziehen	N/A	N/A	N/A		N/A	N/A	N/A	
ingrassare	VER	Mangiando troppo si ingrassa.	ingrassa	Wenn man zu viel isst, wird man zunehmen.	zunehmen	N/A	N/A	N/A		N/A	N/A	N/A	
davvero	ADV	Abbiamo aspettato che la casa bruciasse davvero prima di chiamare i vigili del fuoco.	davvero	Wir haben gewartet, bis das Haus wirklich gebrannt hat, und riefen erst dann die Feuerwehr.	wirklich	Esiste davvero una dieta senza sacrifici?	davvero	Gibt es wirklich eine Diät, ohne Opfer bringen zu müssen?	wirklich	Non riesco a credere che tu sia davvero innamorata di me.	davvero	Ich kann nicht glauben, dass du wirklich in mich verliebt bist.	wirklich
appoggio	NOM	No, chiamala tu. Ti terrò per mano e ti darò il mio appoggio morale.	appoggio	Ich werde dir das Händchen halten und dir meine moralische Unterstützung geben.	Unterstützung	Se Kennedy avesse provveduto a un buon appoggio militare, ora non avremmo di questi problemi.	appoggio	Hätte Kennedy uns  echte militärische Unterstützung gegeben, dann gäbe es hier keine Probleme.	Unterstützung	Spero che otterrai il suo appoggio.	appoggio	Ich hoffe, du wirst seine Unterstützung erhalten.	Unterstützung
calmare	VER	Le ho dovuto dare qualcosa per calmare i nervi.	calmare	Ich musste ihr ein Mittel geben, um die Nerven zu beruhigen.	beruhigen	Gli animali mi sembrano agitati. Vado a calmarli.	calmarli	Die Tiere scheinen mir unruhig zu sein. Ich gehe sie beruhigen	beruhigen	Ti devi calmare. Non può fare questo lavoro con i nervi a fior di pelle.	calmare	Du musst dich beruhigen. Er kann diese Arbeit nicht mit einem schwachen Nervenkostüm machen.	beruhigen
porre	VER	Le persone creative tendono a porre le domande migliori e ottengono quindi le risposte migliori.	porre	Kreative Menschen neigen dazu, die besten Fragen zu stellen, und daher bekommen sie die besten Antworten	stellen	Ammiro la letteratura russa. Tanto che ci si potrebbe porre la domanda: perché non ho mai imparato il russo per poter leggere gli autori russi in originale?	porre	Ich bewundere die russische Literatur. So sehr, dass sich die Frage stellt sich, warum ich nie Russisch gelernt habe, um russische Autoren im Original zu lesen.	stellt	Mi pongo obiettivi realistici.	pongo	Ich setze mir realistische Ziele.	setze
