LEMMA	POS	SENT_ID	N/A	N/A		SENT_ID	N/A	N/A		SENT_ID	N/A	N/A		POLYSEMY	ENOUGH_CONTEXT_SENTENCES?
bordo	NOM	1762730	Ho messo l'uccellino in una gabbietta sul bordo della finestra. Il suo richiamo ha fatto sì che i genitori venissero entrambi. Uno alla volta lo nutrivano attraverso le sbarre. Alla sera lo mettevo dentro, al mattino di fuori. E così finché non ha iniziato a muovere le ali. E un bel giorno ho aperto la gabbia. La mamma era lì ad attenderlo. Sono volati via assieme.	In einem kleinen Käfig setzte ich das Vögelchen auf das Fensterbrett. Auf sein Rufen hin flogen die Eltern beide herbei. Abwechselnd fütterten sie es durch die Gitterstäbe. Am Abend holte ich es herein, am Morgen stellte ich es hinaus. Und immer so weiter, bis es begann, seine Flügel zu bewegen. Und eines Tages öffnete ich den Käfig. Die Mama war da und erwartete es schon. Gemeinsam flogen sie davon.		969950	Il nostro hotel è a bordo mare.	Unser Hotel grenzt an die Meeresküste.		10444760	Noi siamo qui, sul bordo della Fossa delle Cayman.	Hier sind wir.			X
alternare	VER	3030534	I ricordi di queste esperienze creano in lei un continuo alternarsi di speranza e paura.	Die Erinnerungen an diese Erlebnisse bewirken in ihr einen unaufhörlichen Wechsel von Furcht und Hoffnung.			N/A	N/A			N/A	N/A			
personalmente	ADV	503559	Personalmente, trovo il gelato alla stracciatella una combinazione poco riuscita.	Ich persönlich finde Stracciatellaeis eine wenig gelungene Kombination.		2224274	Il suicidio è un atto di vendetta contro se stessi, e io personalmente non ho nulla contro di me.	Selbstmord ist ein Akt der Rache an sich selbst, und ich persönlich habe nichts gegen mich.		977536	Personalmente, non credo che faccia alcuna differenza chi vince le elezioni.	Ich persönlich glaube, dass es völlig egal ist, wer die Wahl gewinnt.			X
riportare	VER	2131271	Riportò il libro alla biblioteca.	Sie brachte das Buch in die Bibliothek zurück.		9356818	Dì a uno degli uomini di riportare in città il ragazzo e la ragazza.	Einer von den Jungs muss den Typen und das Mädchen zurück in die Stadt fahren.		9365936	È meglio riportare a casa Sir Henry.	Bringen wir Sir Henry zum Herrenhaus.			X
sbagliato	ADJ	715238	Anche un bambino sa distinguere il giusto dallo sbagliato.	Selbst ein Kind kann das Richtige vom Falschen unterscheiden.		2280447	Non c'è una risposta giusta, né una sbagliata.	Es gibt keine richtige Antwort. Und ebensowenig eine falsche.		978799	Fai una croce su tutte le risposte sbagliate.	Kreuze alle falschen Antworten an.			X
presentazione 	NOM	1250946	Fai una breve presentazione di te stesso in cinese.	Beschreibe kurz deine Person auf Chinesisch!		10463621	Ho la presentazione alle 3:30.	Ich bin um 15.30 Uhr dran.		10286047	La presentazione del sig. Stevenson è il motivo principale per cui siamo qui.	Seine präsentation ist der hauptgrund, warum wir hier sind.			X
limitare	VER	2187674	Il nostro tempo è limitato, per cui non lo dobbiamo sprecare vivendo la vita di qualcun altro. Non facciamoci intrappolare dai dogmi, che vuol dire vivere seguendo i risultati del pensiero di altre persone. Non lasciamo che il rumore delle opinioni altrui offuschi la nostra voce interiore. E, cosa più importante di tutte, dobbiamo avere il coraggio di seguire il nostro cuore e la nostra intuizione.	Unsere Zeit ist begrenzt, also verschwenden wie sie nicht, indem wir das Leben eines Anderen leben! Lassen wir uns nicht durch Dogmen gefangen nehmen; soll heißen: Folgen wir in unserem Leben nicht Bahnen, die Andere sich ausgedacht haben! Lassen wir nicht zu, dass unsere innere Stimme vom Lärm der Meinungen Anderer übertönt wird. Und, das Wichtigste von allem: Wir müssen den Mut haben, unserem Herzen und unserer Intuition zu folgen.		1851297	L'immaginazione è più importante della conoscenza, perché la conoscenza è limitata.	Phantasie ist wichtiger als Wissen, denn Wissen ist begrenzt.		3410472	La Federazione russa limita o vieta importazione di alcuni tipi di materie prime, prodotti agricoli e alimentari provenienti da paesi che hanno sostenuto le sanzioni contro la Russia.	Die Russische Föderation beschränkt oder verbietet die Einfuhr bestimmter Arten von Rohstoffen, Agrarprodukten und Nahrungsmittel aus Ländern, die Sanktionen gegen Russland unterstützt haben.			X
semplice	ADJ	4391370	Non esistono lingue difficili o semplici, ci sono solo delle lingue belle.	Es gibt keine schwierigen oder einfachen Sprachen, es gibt nur schöne Sprachen.		2990713	Preparare il burro è molto più semplice di quanto possa sembrare.	Butter herzustellen, ist viel einfacher, als es scheinen mag.		1687448	Fornisce spiegazioni semplici e facilmente comprensibili.	Er gibt leicht verständliche, präzise Erklärungen.			X
cliente	NOM	1005627	Il suo negozio è sempre pieno di clienti.	Sein Laden ist immer voller Kunden.		5364183	Il cliente non ha sempre ragione.	Der Kunde hat nicht immer recht.		1622817	A che serve un'impresa senza clienti?	Wem nützt eine Firma ohne Kunden?			X
corte	NOM	9853032	Questo é Sir Lancillotto della corte di Camelot, potente e prode cavaliere.	Dies ist Herr Lancelot vom Hof Camelot, ein tapferer und einflussreicher Ritter.		9214787	Son la più nobile dama di corte, seconda solo alla regina.	Ich bin die vornehmste Dame am Hof, nur die Königin übertrifft mich.		9278526	Donne, risate, canti, ecco ciò di cui ha bisogno questa corte. Infatti, sire.	In der Tat, Sire, der gute Giacomo wird dafür sorgen.			X
