riversare	[10086015]
filo	[9312268.0, 9908330.0, 10132056.0, 9133588.0, 10285190.0, 9162101.0, 9306626.0, 9162364.0, 10099289.0, 9239626, 9299843.0, 9299838.0, 9703275.0, 9238828.0, 9299926.0, 9019212.0, 10445602, 9843720.0, 10056808.0, 9844772.0, 9352720.0, 10256743.0, 9673767.0, 9632399.0, 9695110, 9214762.0, 10170727.0, 9618585.0, 10218865.0, 9524001, 10489883.0, 9118451, 9745249, 9973682, 9492918, 10047998, 10147835, 9550055.0, 9832752.0, 9507970.0, 9420354.0, 9695126.0, 9400298.0, 9326461.0, 10490957.0, 9570097.0, 10333722.0, 10004864.0, 9568381, 9805008.0, 10396641.0, 10259186.0, 10139041.0, 9686398.0, 10009542.0, 9445610.0, 9526680.0, 9550076, 9828135.0, 9145201.0, 9937774, 9607987, 9214773.0, 9852835.0, 9872128, 9612884.0, 9025160.0, 9288543, 9371272.0, 10124097.0, 9558570, 9546103.0, 9430963, 10073286.0, 9135726, 9162510.0, 9346372.0, 9323842.0, 10350643.0, 9568506, 9588882.0, 9973686, 10070423, 9991458.0, 9396006.0, 9568366, 10481040.0, 10389557.0, 10292333.0, 9163191.0, 10481046.0, 9231547, 9214740.0, 10332050.0, 9483914, 9470373.0, 9218408.0, 9693536, 9230209, 9337180, 9568372, 10287799, 9253610, 10343141.0, 9169058, 9230991, 9550063, 9041078, 10274428, 9569570.0, 10070425, 9634231, 9732959, 9516901.0, 10487300, 9907318.0, 10247214, 9932643, 9198447, 10243168.0, 9727105, 10246304, 10469258.0, 9509502.0, 9559138.0, 9259601.0, 10132271.0, 9568388.0, 9851756.0, 9984024.0, 9178405.0, 9300198.0, 9814930.0, 9973670.0, 9844774.0, 9113126.0, 9668769.0, 9698615, 9349018, 9568501.0, 10450393.0, 9394605, 9528098, 9486361, 9234384, 10301640, 9231614, 10395648.0, 9203973, 9261904, 9829644, 9709414, 9832744.0, 9439071.0, 9470514.0, 10001506.0, 10212119, 9568466, 9686400, 9435190]
attaccare	[9528820.0, 9466903, 9538943, 10124989, 9649091.0, 9649641.0, 10117452, 9375682.0, 9046883.0, 10345531, 10079748.0, 9627792.0, 9483669.0, 9732246.0, 9953633, 9607662.0, 9279267, 10282396, 9690681.0, 9296822.0, 9190219, 9866363.0, 9483755, 9897503.0, 10008078.0, 9762128.0, 9462452.0, 9488201.0, 10367598, 9313915.0, 9168360.0, 9233087, 10249955, 9376201.0, 9420531.0, 9418261, 9318236, 9827024, 9749534.0, 10490262.0, 10004241.0, 9935488, 10359635, 9018631, 9902335, 9170417, 10489621, 10168849, 9711370, 9627796, 9897450.0, 9522949.0, 9344310, 9522877.0, 9650048, 9168582, 9700926.0, 10323727, 9487747, 9484148, 10242306, 10044430, 10069662.0, 9452015.0, 10352571, 10210667, 9431155, 9980734, 9425450, 10376796, 10252599, 10375846.0, 9981413.0, 10011172.0, 9042800.0, 10490162.0, 10249829, 9528211.0, 9460958.0, 9247280, 10371769.0, 9217622, 9918398.0, 9260615.0, 10245395, 9464605, 10137010, 10135346.0, 9491077, 9576155, 9282683.0, 9750671.0, 9935675.0, 9488303, 9985267, 9466933.0, 9207601.0, 10000275.0, 9248137, 9673074]
comitato	[10065793, 9924892.0, 9639582.0, 9504938, 10261636.0, 10074733.0, 9714694, 9607941.0, 9069060.0, 9639583, 10172614.0, 10099189, 10389170.0, 9688821.0, 10261630, 9967578, 9093227.0, 9968661.0, 9967590, 9968214.0, 10025562, 10248742, 10065746.0, 9116497.0, 9702500.0, 9625260.0, 10409074.0, 9258688.0, 9760848.0, 9678415.0, 9487793, 9461360.0, 9639640.0, 10172618, 9967681, 9922517, 9830992, 10459006, 9323818, 9967682.0, 10325595.0, 9389921, 9944116.0, 9186159, 9186156, 10065788, 9081282.0, 9967588, 9955389.0, 10361031, 10172947, 10086969, 9470490, 9875286, 10074589, 10138724, 10025695, 10262190, 9323733.0, 10012869.0, 9654168.0, 10099375.0, 9991695.0, 9395516.0, 10115519.0, 9938841.0, 10261949, 10030826, 10171692.0, 9428694, 10024661, 9133428.0, 9410986.0, 10229800.0, 10138660.0, 10346180, 9968239, 9967711, 10172127, 9608082, 9900095.0, 9968204.0]
intervento	[10058879.0, 9799302, 10250539.0, 9695857.0, 10374805.0, 9920449.0, 9928736.0, 9269102.0, 9539014.0, 9671838.0, 10210542.0, 10216786.0, 10058829.0, 9024852.0, 10359158.0, 10346407.0, 10469609.0, 9142014.0, 10009279.0, 9849518.0, 9364046, 9047742, 9233428.0, 9750160.0, 9506928.0, 9662117, 10448134.0, 10337617, 10250595.0, 9676888.0, 9627287.0, 9525012.0, 10258146.0, 9025177, 9653140, 10368703.0, 10040501.0, 9457207, 9043190]
litigio	[10033328, 9196636, 9336273, 9213260.0, 9833045, 10017864, 10193525, 9678346.0, 10053657, 9443879, 9629110, 9191064]
lotteria	[9689446, 10111084, 9981170.0, 9691716, 9155027, 9369141, 9154887, 9952836, 9164812, 9967387, 10203895.0]
coccolare	[9571105.0, 9963457, 10459351]
perdono	[9633022, 9161669.0, 9313361.0, 10189085, 10406400.0, 9514676.0, 10345571, 10301929.0, 9203762, 9161617.0, 10449180, 9842823.0, 9088244, 10215436, 9591389.0, 9464744, 9206466.0, 10493819.0, 10101290.0, 9526865.0, 9897391, 9670258, 9874578, 9032048, 9661895, 9527955, 9704563, 9505743, 9288881, 9747117.0, 10113942.0, 9676355.0, 9768482, 9962769.0, 9201211.0, 9494585.0, 9747121.0, 10134090, 9066323.0, 9934944, 9741533, 9784877, 9460417, 10154138, 9438776.0, 9043325.0, 9807727.0, 10349346, 9402416.0, 10217243.0, 9618772.0, 9465515.0, 9501946.0, 9728665.0, 9429760, 9295321.0, 9079908, 9457886, 9015673, 9289436, 10306049, 10306057, 9151176.0, 9077678.0, 10160400, 9342847, 9438105, 9012229.0, 10367327, 9016086, 9224408, 10301930, 9466122, 10419370.0, 9380668, 9123336.0, 9156724, 9839971, 9452106.0, 9646383.0, 10159258, 9782421, 9139234, 9200957, 10011363, 9932304.0, 10113939.0, 10316022.0, 9267176.0, 9276621, 10113496, 9763690, 9415809, 9705722, 9370149.0, 9191709, 9083935, 9726107, 9395356, 9115104, 9269715, 10365245, 9598929, 10161014, 9290171.0, 9185081, 9900888, 10282001, 9404003, 10272960, 9438065.0, 9466119.0, 9897252.0, 9487586.0, 10388121.0, 9231678.0, 10095406.0, 9380682.0, 9746164, 9345789.0, 9078432, 9089336.0, 9206680.0, 9044134, 9768493, 9402425.0, 10301931.0, 9273601.0, 9089735.0, 9064625.0, 9047618.0, 9534514.0, 9801785, 9448392, 9493063, 10301932, 9396393, 9862696, 9248186.0, 9813829, 9177483.0, 9395153, 9655740, 9073498, 9408218, 9438487, 9438785, 9636562, 10285571, 10309623.0, 9177491.0, 9152920, 9402423, 9105403, 9321069]
avvertire	[9864327, 9984924, 9328959, 9458941, 9055064, 9997791.0, 9499518, 9840331, 10273099.0, 10254450, 9329513.0, 10006047.0, 9412520.0, 9654067, 10272841.0, 10122219.0, 9394208, 10442907, 9983750, 9521142, 10193942, 9159495, 9026192, 9422513.0, 9746853.0, 9827942.0, 10377403.0, 9305534.0, 9435861, 9771718, 9391321.0, 10161973, 9227963, 9379134.0, 9144026, 9199268, 9671729.0, 10219279, 9224575.0, 10115662, 9258041, 9975497, 9671429, 9345363]
astro	[10187525, 9815738.0, 10364149.0, 9075767]
