pubblico	[377548, 4900533, 1758490, 1754667, 3264117, 3889361, 1765053, 399343, 2685976, 3284010, 672098, 3264118, 1859670, 1910190, 4537, 2819510, 2221831, 633849, 4711187, 2139674]
senso	[1061210, 2205678, 1916694, 1765315, 3297577, 876779, 3065461, 3441513, 2057199, 3045022, 2437991, 3411168, 3045032, 1794926, 3114625, 3114626, 3420511, 2585784, 4407, 1848319, 1848351, 1204380, 647135, 5071027, 3280444, 1204378, 1074110, 1268034, 3973937, 3973939, 3350004, 1543226, 2421409]
regalare	[2443670, 632115, 2189697, 1137655, 1405776, 1033195]
mese	[7373739, 1086605, 1308313, 612749, 799043, 620627, 629217, 1319574, 1319575, 1319579, 1319580, 4880873, 685744, 4991882, 3030588, 350982, 836321, 380166, 2687163, 1860234, 1257659, 634385, 499891, 1319576, 1319578, 7373738, 1098359, 2198626, 390567, 997750, 2436997, 2497598, 1718297, 569596, 5649465, 3663850, 1369023, 948091, 1274990, 1834069, 3115018, 1510486, 1306703, 5122041, 3020092, 1741356, 1260105, 479734, 2189318, 441378, 621169, 2813776, 715315, 2900202, 1166714]
dapprima	[1758790]
evento	[2035254, 2257992, 2431187, 1964322, 897248, 1765100, 2903233]
ormai	[3617135, 4293390, 2437168]
accordo	[1710212, 2231902, 4880814, 3034392, 1084041]
scaricare	[3102946, 3102947, 3102945]
imperatore	[3025380, 569338]
punire	[1633225]
inno	[2758474]
orecchio	[2201316, 893761, 3376070, 997925, 1848857, 2076166, 1848874, 893760, 893763, 1848873, 1853009, 1904315, 2220010, 1189420]
telefono	[1722515, 2752330, 3468526, 5537024, 4432, 3452597, 706298, 1758717, 3405784, 3405785, 2584787, 609087, 4958151, 4958152, 989667, 940172, 2765830, 2242239, 2242237, 890877, 2974861, 2974869, 1254090, 3859973, 4553, 1536182, 2974856, 2974857, 2974858, 2974859, 2974860, 2974863, 2974864, 2974865, 2974867, 2974868, 3625664, 758775, 991592, 4973121, 4973122, 374615, 5816047, 3655108, 3364396, 3811648]
considerevole	[4099065]
giro	[5993070, 5993072, 1504306, 2426659, 3113074, 3361464, 1554603, 1534628, 1543211, 1316496, 1107145, 694873, 987815]
meraviglia	[2205678, 2090607]
dignitosamente	[627710]
