ultimamente	[2189466.0, 2189466.0, 374186, 374186]
aumentare	[1866867.0, 1866867.0, 1866867.0, 3297577.0, 3297577.0, 3297577.0, 2810520, 2810520, 2810520]
emozionante	[1427191, 3435789, 1427191, 3435789, 2412248, 2412248]
intraprendere	[3426024, 3426024]
vegetariano	[3700684, 1006711]
vita	[2187674, 2187674, 2442151, 2442151, 2189318, 2189318, 2426659, 2426659, 3264339.0, 3264339.0, 1874163.0, 1874163.0, 2213890, 2213890, 2437168, 2437168, 4916982, 4916982, 707735, 707735, 1765105, 1765105, 1765098.0, 1765098.0, 1905694.0, 1905694.0, 1002114, 1002114, 2585784, 2585784, 1087204, 1087204, 1714801.0, 1714801.0, 1714799.0, 1714799.0, 1718953, 1718953, 1867098, 1867098, 3530074.0, 3530074.0, 4882920.0, 4882920.0, 1867166, 1867166, 1867073.0, 1867073.0, 1317427.0, 1317427.0, 2031473, 2031473, 1867034.0, 1867034.0, 1032489.0, 1032489.0, 2291749, 2291749, 891856, 891856, 2195736, 2195736, 522515, 522515, 2438188.0, 2438188.0, 1859680, 1859680, 2038223, 2038223, 903213, 903213, 3392518, 3392518, 2227907, 2227907, 4862991, 4862991, 1866496, 1866496, 2426662, 2426662, 1032552.0, 1032552.0, 4440, 4440, 1196995.0, 1196995.0, 351151, 351151, 4525800, 4525800, 2797440.0, 2797440.0, 2827888, 2827888, 3280643.0, 3280643.0, 2437728.0, 2437728.0, 414471, 414471, 387325, 1522588, 387325, 1522588, 1158654.0, 1158654.0, 1866472, 1866472, 4407, 4407, 1549892.0, 1697719.0, 1549892.0, 1697719.0, 2241842, 2241842, 5689294.0, 5689294.0, 2056577, 2056577, 1204380, 1204380, 2398223, 2398223, 2056562, 2056562, 1541390, 1541390, 2407676, 2407676, 4944640, 4944640, 2745219, 2745221, 2745223, 2745224, 2745219, 2745221, 2745223, 2745224, 5658789, 5889093, 5658789, 5889093, 4462132, 4462132, 7741769.0, 7741769.0, 2278379.0, 2278379.0, 2430433, 2430433, 4922694.0, 4922694.0, 374223.0, 374223.0, 6173283.0, 6173283.0, 4394262.0, 4394262.0, 1444371, 1444371, 1445395, 1445395, 662895, 662895, 376697, 376697, 625079, 625079, 1652048, 1652048, 6933326, 6933326, 4953746, 4953746, 2137491, 2137491, 2510609, 2510609, 828694, 828694, 423654, 423654, 1588699, 1588699, 3561386, 3561386, 1509481.0, 1509504.0, 1509481.0, 1509504.0, 969610, 969610, 836264, 836264, 3951012, 3951012, 694833, 694833, 1204378, 1204378, 1988983, 1988983, 5228057, 5228057, 1850535, 1850535, 2440528, 2440528, 1435354.0, 1435354.0, 1000918, 1000918, 3537075, 3537075, 3305074, 3305074, 1760481, 1760481, 1222368, 1222368, 670798.0, 670798.0, 1107122.0, 1107122.0, 3963223.0, 3963223.0, 605383, 605383, 1754643.0, 1754643.0, 3548501.0, 3548502.0, 3548501.0, 3548502.0, 4478, 4478, 4572.0, 4572.0, 524815.0, 524815.0, 3877209.0, 3877209.0, 2923698, 2923698, 3877208.0, 3877208.0, 569338.0, 569338.0, 2201503, 2201503, 2497706.0, 2497706.0, 1250545, 1250545, 1136196, 1136196, 1136198, 1136198, 2485370.0, 2485370.0, 1282561, 1282561, 5071027, 5071027, 949501, 949501, 836263.0, 836263.0, 2485412, 2485412, 5205697.0, 5205698.0, 5205697.0, 5205698.0, 7529369.0, 7529369.0, 5586797, 5586797, 2733911, 2733911, 5161003, 5161003, 4473, 4473, 4610296, 4610296, 612251, 612251, 2260011, 2260011, 1222366, 1222367, 1222366, 1222367, 6322617, 6322617, 6322616, 6322616, 4469, 4469, 914313, 914313, 3269660, 3269660]
medio	[585784, 1758771, 1795488.0, 651039.0, 350569, 5980144]
occasione	[2213890, 2213890, 1765066.0, 1765066.0, 1309622, 1309622, 3883324, 3883324, 3282449.0, 3282449.0, 957621, 957621, 2045558.0, 2045558.0, 1646295.0, 1646295.0, 1919314.0, 1919314.0, 2459425, 2459425, 1303442, 1303442]
coppa	[1265197.0, 4603651, 3344001]
confrontare	[1844156, 1853110, 1853101, 2430893, 1853138, 1853133, 2998378.0]
tipo	[3410472.0, 3410472.0, 4837106.0, 4837106.0, 522515, 522515, 1326851, 1326851, 4922710.0, 4922710.0, 3426024, 3426024, 5467441.0, 5467441.0, 2844822, 2844822, 1636766, 1636766, 5833538, 5833538, 1758785, 1758785, 5053629, 5053629, 5833537, 5833537, 1766150.0, 1766150.0, 5833536, 5833536, 2733911, 2733911]
repubblica	[2443751.0, 6000632.0, 2458125.0]
carattere	[2430725.0, 2430747.0, 3222104.0, 715316.0, 3027007, 3409758, 379320]
valore	[3319143.0, 1754711.0, 1796343.0, 1606313, 2438209.0, 2887540.0, 2198475, 4968314.0, 1543220.0, 4520.0, 2895969.0, 1919313]
