intraprendere	[3426024, 3426024]
vegetariano	[3700684, 1006711]
magico	[]
shopping	[]
congresso	[2283512.0]
panna	[2989599.0, 1549874]
aurora	[2974371, 2031603]
arduo	[1758487.0]
appoggio	[1792094.0, 2465369.0]
poster	[538991.0]
biscotto	[]
irlandese	[1250577.0, 3119200.0]
astronomia	[382269, 382269]
tour	[5993073.0, 5993075.0]
ampliare	[2224588]
obbligo	[1422113.0]
rallegrare	[2784799, 2784898]
classificare	[569602]
bilancia	[6592961, 6592962.0]
spalla	[1278503]
cerimonia	[4947640, 1803977]
prevenire	[3282449.0, 946780.0]
pari	[645577, 1000524.0]
inevitabile	[]
viale	[5414985]
successivamente	[3284010.0, 3284010.0]
allenare	[5739288, 1809181.0]
visitatore	[350408]
lusso	[3566763.0]
disturbare	[418987, 1828256]
totale	[4610281.0]
ripresa	[3607212]
ruolo	[1754697.0, 1010975.0]
intervista	[3406964]
evoluzione	[1737231.0, 3664587.0]
giurisprudenza	[3573650, 3573651]
abbigliamento	[]
salmone	[]
trasferimento	[3671593.0]
rotondo	[]
vincitore	[1265197.0, 1265197.0]
finanziamento	[3000700]
mortale	[670805.0]
ovviamente	[]
gola	[4522628]
circostanza	[4902352, 1816903]
istituzione	[1758457.0, 1795464]
vantare	[1454895, 4293378]
goccia	[1160698, 3021788.0]
denominare	[3627091.0]
colle	[2254374.0]
canale	[2215527.0, 2215527.0]
copia	[819960, 2576399]
fritto	[1693145.0, 3190039]
statua	[1049478.0]
regolare	[2196471]
climatico	[720451.0, 2057313.0]
svolgimento	[1368154.0]
abile	[1326955.0, 1326955.0]
durata	[1846952, 1878239]
accurato	[1759642]
severo	[1032314, 387331.0]
manifestazione	[4913004]
obbligatorio	[]
costituzione	[637196.0, 2988232]
ciliegio	[409462, 409467]
curioso	[2444140, 1012837]
diffuso	[4982105.0, 4915185]
misto	[4916981.0, 4922682.0]
profilo	[1461855]
critico	[]
sintomo	[1265056, 1265056]
tradizione	[6933506]
danza	[7776127.0, 2275139]
conoscente	[713973, 713973]
associazione	[1020523.0, 1020523.0]
decorare	[2152280.0, 2189454]
presentazione	[2510606.0, 1250946]
rilassare	[2427303, 6551121]
studioso	[1874163.0]
brillante	[1838558]
casuale	[5137060]
severamente	[]
invidioso	[]
magnifico	[]
utente	[727003.0]
navigazione	[825809]
agitare	[2221831, 2221809.0]
cittadinanza	[2054194.0, 3162309]
impiegare	[1776893.0, 2028978.0]
scherzare	[2272319]
mostro	[1391473, 1101567]
trasformazione	[1859680, 2989599.0]
risalire	[1368164.0, 1368164.0]
considerevole	[4099065]
copiare	[2056030.0]
stabilimento	[2173201.0]
lira	[1200979]
sciogliere	[987859.0]
gratuitamente	[4075159.0]
portale	[2437011.0]
olimpico	[1577797]
sostituire	[499910.0]
alunno	[2291338.0, 3056945]
pesare	[6579230.0]
danneggiare	[668049.0, 2449136.0]
collaborazione	[2227490, 2227490]
persino	[2420968.0, 2420968.0]
yogurt	[]
tirocinio	[]
registrare	[666732.0]
rivoluzione	[2212272.0]
garanzia	[4974539, 3296530.0]
universitario	[373528, 373528]
chiacchierare	[381855]
somigliare	[]
mediocre	[2632781]
allegare	[350371.0]
oggigiorno	[1754705, 7321573]
candidato	[2433713.0, 1739764]
attaccare	[862245]
foro	[3238452.0]
esagerare	[]
fiscale	[1471973]
vinto	[2201277, 2201277]
sito	[3239920, 3239920]
fagiolo	[]
progettare	[3296228.0, 2416308.0]
abilità	[2127885, 4922299.0]
bocciare	[3987348, 3987348]
sovrano	[876868.0, 419087.0]
