pubblico	[3889363]
aperto	[1101587, 5604214, 841107, 1523935, 965358]
usato	[633851, 1623280, 849245, 6214139, 3698873, 3319386]
sbagliato	[1100100, 1856832, 4895318, 6111292]
perfetto	[4413]
seguito	[2433523, 2586564, 1689777]
massimo	[2423132]
continuo	[1335588, 1402503, 1737172, 4417525, 3462640, 3406947, 713239, 1592230, 3355540, 609089, 4428434]
arrivato	[1910708, 2473238, 3663850, 4892562, 4620, 672893, 1588097, 3516661, 395564, 2485786, 4653, 2055846, 968096, 2213330, 1099952, 3416104, 3416105, 1543128, 376568, 1102449, 1137915, 1301389, 3653738, 3653739]
esperto	[]
politico	[1329316, 1795501, 1803893, 1803893, 2439010, 1803899, 1803899, 2275060, 2784733, 2784674, 719247, 2784671, 373947, 5457420, 3841146]
medio	[3030588, 1546743, 3030608, 933183, 951608, 1184294]
brillante	[409637]
informatico	[1416105]
legato	[1616179, 3859906]
