passo	[650925, 2275139, 3104059, 3104060]
ricordo	[350563, 865389, 967783, 2191878, 2784783, 3182504, 6366546]
incontro	[1776893, 2812507]
appoggio	[3566963]
disturbo	[1828256]
dio	[4381, 4591, 4660, 382269, 384515, 388814, 398773, 503162, 546919, 609456, 617049, 623013, 643140, 655277, 662792, 666531, 679270, 715316, 720451, 750019, 754050, 763698, 823487, 833541, 833543, 839395, 839646, 868635, 883365, 934474, 935993, 945253, 977814, 979564, 987587, 990042, 992748, 1064153, 1064154, 1073264, 1104467, 1114867, 1121114, 1168038, 1173429, 1183610, 1211303, 1232731, 1237872, 1246427, 1257065, 1282647, 1291154, 1291156, 1306647, 1368177, 1418772, 1429116, 1448086, 1506856, 1511015, 1524185, 1524186, 1534624, 1543076, 1647210, 1647792, 1647793, 1650061, 1650178, 1650180, 1687518, 1701437, 1737172, 1737231, 1739764, 1740239, 1740239, 1751838, 1754667, 1758490, 1758768, 1765066, 1765073, 1765080, 1765095, 1765096, 1766542, 1768303, 1768314, 1795486, 1795486, 1795548, 1797919, 1821657, 1827251, 1834653, 1840907, 1840909, 1845780, 1846826, 1859699, 1871465, 1874159, 1874163, 1874163, 1964593, 1964593, 2028586, 2045566, 2056095, 2078754, 2090474, 2090477, 2102450, 2193133, 2201459, 2201459, 2213624, 2219157, 2219157, 2224321, 2241847, 2242025, 2262691, 2268223, 2402142, 2418849, 2421564, 2423094, 2426824, 2426915, 2429256, 2429257, 2430725, 2431187, 2433713, 2435204, 2436736, 2437168, 2442151, 2442151, 2449136, 2459399, 2470170, 2474488, 2523730, 2602461, 2612530, 2615686, 2670170, 2682880, 2703962, 2704895, 2784592, 2784624, 2784731, 2790918, 2829334, 2829335, 2833327, 2842143, 2842654, 2845189, 2915801, 2915802, 2915803, 2915804, 2915805, 2915806, 2915807, 2915808, 2971252, 2971253, 2976965, 2984832, 2991417, 2995909, 3040348, 3040349, 3047490, 3047491, 3111939, 3116607, 3116608, 3116662, 3118017, 3118017, 3162275, 3219859, 3221803, 3238498, 3238499, 3264401, 3266960, 3267099, 3267100, 3272231, 3275667, 3275668, 3281029, 3281030, 3284010, 3305084, 3316553, 3319143, 3343489, 3378539, 3378540, 3397638, 3421137, 3493133, 3565346, 3565347, 3601590, 3659494, 3659495, 3665031, 3690544, 3710227, 3710228, 3710929, 3815237, 3963567, 3963568, 4202663, 4202667, 4212101, 4293752, 4377786, 4397932, 4400538, 4400540, 4423534, 4484104, 4594726, 4738110, 4738111, 4801962, 4916982, 4922690, 4986465, 4991882, 5054896, 5061981, 5172283, 5278205, 5345778, 5395815, 5395816, 5432931, 5469740, 5634885, 5693833, 5693834, 5693835, 5693836, 5693837, 5792118, 5995264, 6140291, 6592960, 6617333, 6680755, 6849837, 6872320, 6875080, 7032521, 7534449, 7534450, 7705096, 7726446, 7775142, 7775148, 7776128, 8117069, 8117070, 8431751, 8431752]
legge	[743971, 1799135, 2143673, 3470467, 3806339]
mostro	[978815]
desiderio	[1110444]
prodotto	[1529428, 1910192]
spina	[408728]
rivista	[621111, 1742297, 1742298]
tecnica	[1759555, 1765042, 1846947, 1846952]
corsa	[2437219, 2437220, 2913976, 3553476]
racconto	[2784794]
peso	[4816193, 4816195]
stato	[431804, 701138, 859685, 859687, 1000817, 1129014, 1422113, 1529428, 1578750, 1759539, 1795470, 1924785, 2003332, 2072389, 2418953, 2437617, 2497879, 2501704, 2903233, 3116607, 3233446, 3385000, 3414345, 3427749, 3462791, 5067188, 5594915, 6032575, 6032576, 6894911, 8081667]
