passo	[2275139, 3104060, 3104059, 650925]
ricordo	[6366546, 2191878, 967783, 2784783, 865389, 3182504]
incontro	[1776893, 2812507]
appoggio	[3566963]
disturbo	[1828256]
dio	[1874159, 3284010, 2442151, 2442151, 3319143, 1874163, 1874163, 1257065, 4801962, 1758490, 4922690, 1765073, 2430725, 1795548, 2426824, 1840909, 1840907, 3421137, 2437168, 4916982, 1765066, 1237872, 1754667, 1765096, 1737231, 2431187, 1827251, 3116608, 720451, 2421564, 3116607, 1795486, 1795486, 1765095, 1768314, 1768303, 2402142, 1845780, 2459399, 1964593, 1964593, 398773, 3316553, 2435204, 1765080, 715316, 2433713, 2474488, 3238498, 2201459, 2201459, 1758768, 3659495, 1650061, 3343489, 388814, 1766542, 3305084, 987587, 3118017, 3118017, 3238499, 4484104, 1821657, 3659494, 2426915, 2056095, 2991417, 3601590, 2423094, 2045566, 609456, 2224321, 2090474, 2784592, 5172283, 4377786, 6592960, 1740239, 1740239, 546919, 5061981, 2219157, 2219157, 2995909, 763698, 1168038, 2845189, 2833327, 1737172, 1543076, 1291154, 1291156, 4991882, 2842143, 1429116, 384515, 992748, 750019, 6617333, 1232731, 2213624, 3047490, 3047491, 5469740, 4293752, 2984832, 4400538, 4400540, 977814, 3264401, 1183610, 4397932, 3281029, 3281030, 3690544, 3710929, 7032521, 979564, 1511015, 2242025, 4423534, 382269, 1846826, 3565346, 3565347, 1859699, 6140291, 3710227, 3710228, 1282647, 2449136, 1211303, 1173429, 2028586, 1064154, 503162, 6849837, 2784624, 3963568, 945253, 839646, 3493133, 662792, 2842654, 3272231, 7726446, 1073264, 754050, 6875080, 1534624, 935993, 2682880, 1751838, 1121114, 1871465, 1418772, 7775142, 617049, 679270, 3963567, 2268223, 2193133, 7705096, 4212101, 4591, 8117069, 8117070, 5995264, 4381, 666531, 1064153, 5345778, 2602461, 2704895, 2703962, 1701437, 2971253, 3266960, 1246427, 1739764, 1650178, 1650180, 1114867, 2784731, 1797919, 934474, 4986465, 1448086, 2971252, 3040349, 5054896, 2829335, 1647793, 868635, 7775148, 2418849, 1834653, 1368177, 1306647, 623013, 2790918, 2090477, 3275667, 3275668, 3162275, 883365, 1647792, 2262691, 3040348, 3397638, 4594726, 2436736, 3378539, 3378540, 2670170, 3267099, 3267100, 5278205, 2612530, 3111939, 1524185, 1524186, 7534449, 7534450, 2829334, 2429256, 2429257, 2615686, 990042, 6872320, 5634885, 4660, 2976965, 3219859, 2470170, 3221803, 839395, 2102450, 5792118, 1506856, 7776128, 3815237, 823487, 5432931, 2915801, 2915802, 2915803, 2915804, 2915805, 2915806, 2915807, 2915808, 5693836, 2078754, 655277, 5395815, 5395816, 8431751, 643140, 833543]
legge	[2143673, 743971, 1799135, 3470467, 3806339]
mostro	[978815]
desiderio	[1110444]
prodotto	[1910192, 1529428]
spina	[408728]
rivista	[621111, 1742297, 1742298]
tecnica	[1759555, 1765042, 1846952, 1846947]
corsa	[2437220, 2913976, 2437219, 3553476]
racconto	[2784794]
peso	[]
stato	[1422113, 3116607, 3233446, 1759539, 1795470, 2003332, 1129014, 1578750, 2903233, 6894911, 2072389, 2501704, 2497879, 5067188, 2418953, 1529428, 1000817, 2437617, 701138, 3385000, 859687, 5594915, 8081667, 3414345, 6032575, 6032576, 859685]
