dapprima	[1758790]
ormai	[4481, 2437168, 3617135, 4293390]
scaricare	[2078791, 3102945, 3102946, 3102947]
imperatore	[569289, 569338, 3025380]
punire	[1633225, 2714803]
inno	[2758474]
considerevole	[4099065]
meraviglia	[2090607, 2205678]
dignitosamente	[627710]
successivo	[4244347]
partecipante	[1859693, 1859699, 1870191]
celebre	[3081965, 4865651]
ruolo	[1010975, 1585603, 1754697]
tocco	[1152762, 1152764, 1152767, 1303479, 7895683]
influenzare	[799844, 1912731, 2455774]
ampliare	[2224588]
cinquecento	[607664, 4992781]
inventore	[969840, 5413883]
ricominciare	[1722431, 1915002]
posare	[1851326, 2254374]
ognuna	[2221731]
sede	[3421137]
movimento	[1184941, 1316538, 1764317, 4876103]
struttura	[1853823, 2863868, 3387920, 3529264]
ferita	[382929, 3004011, 3004012]
accorrere	[1736257, 1765098, 3264332, 3487076]
aumentare	[409822, 1866867, 2810520, 3297577]
rilassare	[2427303, 6551121]
ritirare	[3591235, 7321562]
aurora	[2031603, 2974371]
volo	[739049, 1596556, 2028577, 2479104, 3355452]
appassionare	[2213720, 3511548]
pensione	[950351, 1789908, 7958787]
cerimonia	[1803977, 4947640]
coppa	[1265197, 3344001, 4603651]
trasporto	[997463, 1754996, 2685976, 2819510]
esploratore	[825809]
promuovere	[998835, 1329025, 1720040, 1866867, 2428407]
domandare	[4617, 2073498, 2797494, 2838187, 4752953]
prete	[547101, 625097, 2779986, 3505963]
padrona	[827147]
stabilimento	[2173201]
coperto	[1719472]
sfruttare	[918413]
denuncia	[3250110]
pastore	[3505962]
complesso	[1850535, 2038916, 3077830, 3618279, 3753377]
allievo	[896791, 2456093, 2456170, 3213019]
maggiormente	[2201288]
passante	[2191941, 2784790, 2784791]
bilancia	[6592961, 6592962]
occupazione	[1754707, 5635280]
spalla	[883116, 1278503]
intervento	[1765080, 1765095]
deciso	[1752384]
ciliegio	[409462, 409467]
compera	[707352, 999538]
acquisire	[1857161, 1857364, 2430725, 2430747]
fedele	[893711, 1211263]
liceo	[539006]
cespuglio	[1762755]
agio	[1010953, 2191926]
lettura	[1566477, 3307383]
abbigliamento	[1806522]
punizione	[3678213, 3678214, 3678215, 3678216]
tesoro	[860687, 3387978, 3538731, 4620156]
voglia	[4522, 1087370, 1228459, 2383697, 3104048]
fonda	[2194351]
chiacchierare	[381855, 1541461]
telegrafo	[999181, 999185]
piacevole	[1005854, 2196504, 2430419, 4532848]
disponibile	[1309711, 1809384, 2028935, 3338022, 6875079]
legare	[1616179, 1841029, 3859906]
ingrassare	[4622, 2523976, 2523977]
scrittorio	[2440265]
risalire	[1368164]
durata	[1846952, 1878239]
crollare	[570411]
scorrere	[1152808, 4922693]
riunire	[1735650, 1860234]
orgoglio	[759894]
ascoltatore	[2733044]
consegna	[350327, 3405784, 3405785]
bordo	[969950, 1368173, 1762730, 1964165]
condizionatore	[2056101]
mossa	[2716550, 2716551, 2716552]
portafoglio	[4437, 1455490, 1820721, 3265092, 3265093]
quindici	[1114793, 2056101, 2293690, 2574689, 4594994]
dipinto	[1574481, 2782287, 2960666, 4946188]
scambio	[1329025, 1759552, 2421669]
ambasciata	[2159925, 2159926, 2159931, 2943057]
tomba	[758446, 4405884, 4718301]
invidioso	[4909376]
yogurt	[2721041]
smarrire	[4579898, 5962427]
agenzia	[1755023]
puro	[4485, 2997135, 3490900, 4108967]
quaranta	[622290, 2189138]
peccare	[4571, 358298, 612735, 1807379, 2735162]
coltivare	[966199, 4545345, 4588241]
scelto	[2423420]
fagiolo	[2433360, 2433363, 3374914]
astronomia	[382269]
istituzione	[1758457, 1795464]
esaminare	[2195723, 2213900, 2402137, 3480492, 4962364]
portale	[2437011]
teorico	[1296406]
ingresso	[1565168, 2227345, 2457959, 3807090]
chissà	[1765896, 3671416]
indimenticabile	[4877166]
discarica	[1646130]
timidezza	[1720860]
rotondo	[653788, 653790]
dibattito	[1765066, 2147878]
editoriale	[3264147]
commerciale	[644376, 1857364, 6004500, 6004501, 7775142]
destra	[417527, 1577797, 1758513, 2030897, 3297636]
motivazione	[715665]
consumo	[1759547, 1765048, 2416904]
affetto	[1841029, 2426537, 3858337]
traduttore	[541772]
direttamente	[609102, 2784701, 3290750]
settembre	[620627, 1866867, 2154224, 7036169, 7775125]
livello	[1979931, 2197058, 3275472]
cervo	[342137, 7223173]
favorire	[1755006, 2029086, 2437991]
sepolto	[1931689]
zampa	[377220]
sottoporre	[602293, 749956, 2421564]
arricchire	[547100, 2381951, 2437991, 4482136]
collaborazione	[2227490]
appoggio	[1792094, 2465369]
disegno	[1554261, 3078245]
ostruire	[1827096, 1827251, 1827257]
discendere	[976832, 2056533]
gestire	[1539321, 1910190, 3425603]
sostanza	[966176, 1005936, 1545193, 1545194, 1796343]
fastidio	[3343479]
nazionalità	[1218296, 6727177, 6745553, 6757554]
pallacanestro	[6066673]
turista	[4871292]
incubo	[1468951, 8469475]
saluto	[862194, 3026345, 3672186, 6672000, 6672001]
carriera	[792362, 2031670, 3426024, 6765902]
negare	[632058, 1276318, 2347180]
benissimo	[1873953, 3013342]
sostituire	[499910]
marciapiede	[4998946, 4998976]
perfino	[738829, 1616179, 2057131, 2811596]
caratteristica	[1872727, 2112390, 2193459, 2427303, 3319143]
leggenda	[2398441, 2398442]
generazione	[842622, 1759536, 1794754, 2201517, 2456010]
disturbo	[1916290, 2989191, 3348361]
inoltre	[1758806, 2217608]
mestiere	[1754705, 1850829]
ovviamente	[5172867]
alternare	[3030534]
visitatore	[350408, 622230]
inquinamento	[2196491]
voto	[664227, 2189376, 3338176, 3338177, 3338187]
copia	[819960, 2576399, 3334068]
fisso	[1616478, 1616480, 1722515, 1802937]
passione	[439745, 2460049, 4974539]
contattare	[1073334]
comprensibile	[1687448, 1765036, 2416289, 3319143]
insegnamento	[1185159, 1911305, 2455983, 2456093, 2456170]
concedere	[1677133, 1922196, 3302607, 4991600]
malanno	[2784771]
bevanda	[3807090, 3956669]
istituto	[538991, 1606313]
segreteria	[1758723]
cipolla	[791347, 2076160, 2729461, 3441100]
esigente	[2003695, 3260860, 3260861]
stupire	[4411, 630482, 2272582, 2277251, 3174310]
posizionare	[1838478, 1838484, 2975629]
adatto	[522515, 1758471, 1765107, 3754509]
eterno	[1434757]
cercatore	[2453594]
ala	[1762730, 2029083, 2254374]
vario	[1910191, 2162898, 2510709, 3025401, 4922710]
subire	[4919303]
sportivo	[948073, 2383804, 3026991]
follia	[852109, 2010182, 3343630]
televisivo	[1455490, 1636849, 3676057]
canale	[2215527]
affidare	[628056, 1762051, 3501635, 3501636]
scontrino	[4646]
cassetto	[4420983, 4887069, 4919695]
abbraccio	[2777395]
cambio	[980896, 1767433, 1803354, 1869109]
dio	[859485, 962401, 1746594, 3017125, 4869038]
aggiunto	[1743129]
rinchiudere	[2206010]
negativo	[1758618, 1859679, 2427548, 4919431, 4920805]
banco	[1758710]
vantaggioso	[380877, 2427736]
scienza	[707735, 1111441, 1775077, 1912730, 3495597]
conveniente	[1057369, 3102819, 3548042]
agricoltore	[1202641, 1754705, 2429163, 4954359, 7208465]
tradizione	[6933506]
annuncio	[3088597]
riscontro	[3672186]
precedente	[718523, 1422113, 2426659]
colui	[1326955, 2408979]
abbandonato	[1510625, 1510629]
ripagare	[4292773]
corridoio	[439443, 2453995]
sito	[1510619, 3239920, 6468019]
quinto	[839229, 2018208, 3029139]
parcheggiare	[947837, 2268230, 3136993, 3262861]
vantare	[1454895, 4293378]
oceano	[967363, 7893555, 7893556]
goccia	[1160698, 3021788]
fucile	[3483541]
offendere	[2720951, 2720952, 7929413]
panna	[1549874, 2989599, 2991406]
lira	[1200979]
intervistare	[2196057]
tipico	[905668, 2193459]
salmone	[5985717]
personalmente	[503559, 977536, 2224274, 3251527, 3251528]
impiegare	[1776893, 2028978]
fattoria	[434026, 905731, 1791881]
usato	[910277, 1449280]
venditore	[1872128, 7124393]
ente	[1758490]
maiale	[1246089, 2189318, 3289796, 3289797]
obbligo	[1422113]
protestare	[627710, 2784692]
rischiare	[1445395, 1765105, 5362673]
pur	[4849680]
formazione	[1759547, 2057131, 2213603, 2507781]
gola	[772644, 1177736, 3256379, 4522628]
registrare	[666732, 3328686, 3328687]
crollo	[3601589, 3601590]
fastidioso	[3761021]
industria	[374426, 947745, 1754699, 2575516]
amarezza	[3561437]
traccia	[4509, 410193, 2212330]
preside	[1583043, 1583044]
rallegrare	[2784799, 2784898, 4895356]
deputato	[1758461, 1758748, 1758760]
fantasia	[585784, 1084629, 2231630, 2231635, 3114826]
vespa	[7033310, 7033311]
trionfo	[1722528]
assicurazione	[350327]
furto	[612805, 5070482]
nido	[5172283]
pertanto	[740368, 948080]
ambientale	[1329316, 1535723, 1754707, 2430725]
laurea	[621177, 634405, 3372781, 5683687]
imbarazzante	[1301378]
garanzia	[3296530, 4974539]
palazzo	[2268230, 2784683, 2784684, 3421137]
furbo	[2474495, 3094002]
ammirazione	[1691960, 4853058, 5562484]
fisico	[670805, 2426969, 3264115]
composizione	[980897]
noia	[1905694, 2796312]
duemila	[1880206, 3222104]
coccodrillo	[1063967, 2196496, 2417303]
presentazione	[1250946, 1470717, 2510606, 3264163]
cosiddetto	[1759560]
limite	[119949, 664407, 1520613, 2209652, 2279149]
recare	[1810949]
antiquario	[6162572]
afferrare	[1148110, 1719958, 2485358, 2485370]
atteggiamento	[622253, 2427736, 2428407, 3088590]
apparire	[1726437, 2551717, 3410525, 3410526, 4937226]
ufficiale	[2059890]
spostare	[1081564, 1664836, 2213613]
mostro	[1101567, 1391473, 6875085]
fosso	[3391582]
somma	[4567, 774743, 3105907, 4099065]
liberamente	[715201, 1857161]
affilare	[1137480, 1751831, 3898277, 4137830, 4137831]
inutilmente	[4309799]
apertura	[1795478, 2437991, 3316553]
ingegneria	[4750138]
fogna	[1874159]
radicalmente	[1718953, 1867382]
mediocre	[2632781, 6026157]
seguito	[749452, 2121642, 2466947]
concludere	[1765053, 1803650, 5753126]
maestra	[2195736, 2337460, 2453159]
applicazione	[1166632, 2132684]
costituzione	[637196, 2988232]
arduo	[1758487]
pancetta	[3779038, 3779042]
poster	[538991]
barriera	[2437218]
decorare	[2152280, 2189454]
riversare	[3343624]
sintomo	[428848, 1265056]
sostenibile	[1677491, 1677492, 1833854]
scherzare	[779599, 2031675, 2272319, 4296532]
sindaco	[1022999]
concentrazione	[2442466]
sciogliere	[379729, 987859]
proposito	[869661, 1083284, 1124114, 1226506, 1261620]
quotidianamente	[4434530]
cruciverba	[3268774]
scorpione	[6871878]
candidato	[1739764, 2433713]
abile	[1326955]
nuoto	[1326955, 5603721]
vincitore	[1265197]
inciampare	[3305074]
categoria	[1368167, 4841388, 5563181]
bistecca	[6276999]
sovrano	[419087, 876868, 1543454]
interrompere	[869682, 2152280, 3358335]
scavare	[3021788]
settore	[1759539, 1759552, 2193254, 3641408]
usanza	[2197529]
avventura	[1187890, 2437728]
orale	[4518]
professione	[5489729]
finanziamento	[3000700]
cittadinanza	[2054194, 3162309]
esercitare	[2443782]
risparmio	[2416284, 3331359, 4420931]
vivace	[570374, 1866867, 3257380, 3542068, 3542070]
adolescente	[1512391, 1806190, 2028586, 2197366]
tirocinio	[7196370]
stipendio	[945463, 997750, 1106270]
manuale	[2455983, 2456010, 2456034, 5027352]
specificare	[3162241]
cordiale	[862194, 2417941]
oggigiorno	[1754705, 7321573]
desiderio	[1087204, 1100314, 2157788, 2976981, 4922688]
apatia	[631242]
psicologo	[1415894, 1578295, 1869319]
settanta	[622290, 2055925]
coppia	[524828, 2420027]
denominare	[3627091]
ricostruire	[1758487, 1874163, 3607212]
buco	[609493, 2412089, 3477389, 6333852]
bussare	[2232838, 2393012, 3307420, 4986390]
comitato	[740368, 1860234, 1860237]
gratuito	[373956, 1585830]
abitante	[2433523, 3114247, 5028821]
robot	[388819, 609456, 3314119]
spostamento	[2213603]
salvo	[4388, 3516661]
lusso	[3566763]
attimo	[624971, 1583647]
riflessione	[1859962, 2213890, 2484326, 3030472]
ostacolo	[1776893, 1842375, 1842426, 2426845, 2426915]
sottrarre	[874399]
circostanza	[1816903, 4902352]
sudare	[3317955, 4266289]
specie	[920664, 4886413]
pralina	[996850]
indubbiamente	[1032489]
manifestare	[749452, 749462, 1444212]
danneggiare	[668049, 2449136]
spina	[664230, 1507057, 2449136, 4403667]
sciocco	[612037, 705725, 2291338, 3266124]
vetrina	[3475633]
artistico	[3441513]
impoverire	[547100]
gratuitamente	[1300676, 4075159]
costante	[4567, 883369, 1776935, 2280188]
congresso	[2283512]
ingiustizia	[6954345]
ottanta	[622290, 1083574, 1083575, 3350709]
paga	[819227, 1807312, 1871483, 1871486]
massa	[992719, 1166632, 1325453]
comunità	[1349822, 1866867, 1916694, 3025401, 4422176]
sporgere	[1495072, 2798482]
magico	[4473804, 4473805]
centrale	[878861, 980125, 990442, 1765036, 2126216]
caloria	[4503310]
rotella	[992751]
infatti	[1795470, 1803354, 1806190, 2416904, 2456010]
navigazione	[825809]
attento	[4596, 1841029, 2219330, 3233446, 3898277]
cacciatore	[874307, 2510400, 7223173, 7806219]
gita	[527178]
tradizionale	[524257, 841101, 3283324, 3283325]
allarmare	[3369956]
allenare	[1809181, 5739288]
successivamente	[3284010]
evoluzione	[1737231, 3664587]
mortale	[670805]
determinare	[833533]
specifico	[849245, 1759552, 3093418, 3264117, 3264118]
calmare	[409335]
esporre	[900413, 1759521, 4295974]
infermiera	[883351, 883353, 883354, 898080, 2420057]
elementare	[1276340]
giornalista	[834356, 3147011, 3406964, 4507423, 5151233]
comunicativo	[2456034]
incuriosire	[2485408, 4544715]
critico	[2452516, 2989637]
architetto	[1859670, 1859674, 2416308, 3531104, 3531105]
dirigere	[1342832, 2428284, 7713790]
intuire	[2038912]
concessione	[1758490]
ultimamente	[374186, 2189466]
stimolo	[2437991]
attribuire	[1265056, 6843320]
articolare	[2426163, 2426537, 2426567]
vizio	[937680, 1401354]
ricercatore	[1846945, 1846947, 1846952, 2437684]
indispensabile	[1795486, 1796055, 5289242, 5289243]
bimbo	[4987895]
erba	[714479, 1633246, 1633247, 2494491, 3750267]
indagine	[1805712, 4829573]
aumento	[4567, 1766542, 2448016]
largo	[618240, 1853138, 2429753, 2429756, 3074784]
casuale	[926420, 3132159, 5137060]
arrivato	[5465970]
continente	[1018313, 2419072, 4649273]
vulcano	[500255, 1242463, 2449668, 3461759]
psiche	[4920805]
informatica	[1416105]
magnifico	[381941, 2136220, 2801205, 5898646]
burocrazia	[2402142]
commessa	[381935]
curare	[1516915, 2793229, 3175365, 4922687]
sacrificio	[1321501, 1514736, 1765440]
gara	[1062219, 1636976, 3104090]
preso	[1777062]
prenotare	[836522, 987132, 1596556, 2028577, 2095153]
ampio	[2076688, 2224309, 2429754, 2437991, 4880931]
altezza	[627237, 1860326, 2152280, 2567612]
gesto	[1323807, 2510168, 3858337]
cacao	[538988, 2429163]
produzione	[393854, 1226509, 3529264, 3530074]
scolastico	[409295, 653791, 1803983, 2201230, 3414305]
quotidiano	[903213, 2213890, 3102126]
settimo	[1932760, 2514302, 5466799]
ininterrottamente	[3621241, 4540836]
basare	[1200965, 1964322, 3269735, 3385724, 4420599]
irlandese	[1250577, 3119200, 5971375]
rinunciare	[387334, 2426163, 2782350]
profilo	[1461855]
agitare	[374407, 2221809, 2221831, 2221839]
eccezionale	[1792219, 1842400]
trucco	[1520712, 4380077, 4380080, 4919434]
aggiunta	[1804000, 2850400, 2850402, 3105907]
calcolo	[1798144, 1798145, 1798149, 1798150]
facoltà	[1811345]
somigliare	[2205882]
affascinare	[2197397, 3409461, 3409462]
promozione	[3319143, 5426891, 5426892]
viale	[5414985]
mercoledì	[1275383, 2777984, 2777985]
merito	[1754669, 1856712]
persino	[2420968]
codardia	[1321501]
stabilire	[2272536, 3761070]
mistero	[2878522, 3877208, 6973573, 8553546]
paesaggio	[2381764, 2430203, 4962557]
ovest	[971719, 1349892, 1529200]
bilancio	[1168038, 2050233, 2189070]
malgrado	[2196471, 3093976]
