dapprima	[1758790]
punire	[1633225, 2714803]
inno	[2758474]
considerevole	[4099065]
meraviglia	[2090607, 2205678]
dignitosamente	[627710]
successivo	[4244347]
celebre	[3081965, 4865651]
ampliare	[2224588]
cinquecento	[607664, 4992781]
inventore	[969840, 5413883]
ricominciare	[1722431, 1915002]
posare	[1851326, 2254374]
ognuna	[2221731]
sede	[3421137]
rilassare	[2427303, 6551121]
ritirare	[3591235, 7321562]
aurora	[2031603, 2974371]
appassionare	[2213720, 3511548]
cerimonia	[1803977, 4947640]
esploratore	[825809]
stabilimento	[2173201]
coperto	[1719472]
sfruttare	[918413]
denuncia	[3250110]
pastore	[3505962]
maggiormente	[2201288]
bilancia	[6592961, 6592962]
occupazione	[1754707, 5635280]
spalla	[883116, 1278503]
intervento	[1765080, 1765095]
deciso	[1752384]
ciliegio	[409462, 409467]
compera	[707352, 999538]
fedele	[893711, 1211263]
liceo	[539006]
cespuglio	[1762755]
agio	[1010953, 2191926]
lettura	[1566477, 3307383]
abbigliamento	[1806522]
fonda	[2194351]
chiacchierare	[381855, 1541461]
telegrafo	[999181, 999185]
scrittorio	[2440265]
risalire	[1368164]
durata	[1846952, 1878239]
crollare	[570411]
scorrere	[1152808, 4922693]
riunire	[1735650, 1860234]
orgoglio	[759894]
ascoltatore	[2733044]
condizionatore	[2056101]
invidioso	[4909376]
yogurt	[2721041]
smarrire	[4579898, 5962427]
quaranta	[622290, 2189138]
scelto	[2423420]
astronomia	[382269]
istituzione	[1758457, 1795464]
portale	[2437011]
teorico	[1296406]
chissà	[1765896, 3671416]
indimenticabile	[4877166]
discarica	[1646130]
timidezza	[1720860]
rotondo	[653788, 653790]
dibattito	[1765066, 2147878]
editoriale	[3264147]
motivazione	[715665]
traduttore	[541772]
cervo	[342137, 7223173]
sepolto	[1931689]
zampa	[377220]
collaborazione	[2227490]
appoggio	[1792094, 2465369]
disegno	[1554261, 3078245]
discendere	[976832, 2056533]
fastidio	[3343479]
incubo	[1468951, 8469475]
benissimo	[1873953, 3013342]
sostituire	[499910]
marciapiede	[4998946, 4998976]
leggenda	[2398441, 2398442]
inoltre	[1758806, 2217608]
mestiere	[1754705, 1850829]
ovviamente	[5172867]
alternare	[3030534]
visitatore	[350408, 622230]
inquinamento	[2196491]
contattare	[1073334]
malanno	[2784771]
bevanda	[3807090, 3956669]
istituto	[538991, 1606313]
eterno	[1434757]
cercatore	[2453594]
subire	[4919303]
canale	[2215527]
aggiunto	[1743129]
rinchiudere	[2206010]
vantaggioso	[380877, 2427736]
tradizione	[6933506]
annuncio	[3088597]
riscontro	[3672186]
colui	[1326955, 2408979]
abbandonato	[1510625, 1510629]
ripagare	[4292773]
corridoio	[439443, 2453995]
vantare	[1454895, 4293378]
goccia	[1160698, 3021788]
fucile	[3483541]
lira	[1200979]
intervistare	[2196057]
tipico	[905668, 2193459]
salmone	[5985717]
impiegare	[1776893, 2028978]
usato	[910277, 1449280]
venditore	[1872128, 7124393]
ente	[1758490]
obbligo	[1422113]
protestare	[627710, 2784692]
