dapprima	[1758790]
imperatore	[3025380, 569338]
punire	[1633225]
inno	[2758474]
considerevole	[4099065]
meraviglia	[2090607, 2205678]
dignitosamente	[627710]
successivo	[4244347]
celebre	[4865651]
ruolo	[1754697, 1010975]
tocco	[1303479]
ampliare	[2224588]
cinquecento	[4992781, 607664]
inventore	[5413883, 969840]
ricominciare	[1915002, 1722431]
posare	[2254374, 1851326]
ognuna	[2221731]
sede	[3421137]
ferita	[382929, 3004012]
rilassare	[2427303, 6551121]
ritirare	[7321562]
aurora	[2974371, 2031603]
appassionare	[2213720]
cerimonia	[4947640, 1803977]
esploratore	[825809]
prete	[625097]
stabilimento	[2173201]
coperto	[1719472]
sfruttare	[]
denuncia	[3250110]
pastore	[]
maggiormente	[2201288]
bilancia	[6592961, 6592962]
occupazione	[1754707, 5635280]
spalla	[1278503]
intervento	[1765095, 1765080]
deciso	[]
ciliegio	[409462, 409467]
compera	[999538]
fedele	[893711, 1211263]
liceo	[539006]
cespuglio	[1762755]
agio	[1010953]
lettura	[3307383, 1566477]
abbigliamento	[]
tesoro	[860687, 4620156]
fonda	[2194351]
chiacchierare	[381855]
telegrafo	[999181, 999185]
ingrassare	[4622]
scrittorio	[2440265]
ingannare	[3164266, 1606313]
risalire	[1368164]
durata	[1846952, 1878239]
crollare	[570411]
scorrere	[4922693, 1152808]
riunire	[1735650, 1860234]
orgoglio	[759894]
ascoltatore	[]
bordo	[1762730, 969950]
condizionatore	[2056101]
curioso	[2444140, 1012837]
tomba	[758446, 4718301]
invidioso	[]
yogurt	[]
smarrire	[4579898, 5962427]
puro	[2997135, 3490900]
quaranta	[622290, 2189138]
scelto	[]
fagiolo	[]
astronomia	[382269]
istituzione	[1758457, 1795464]
portale	[2437011]
teorico	[1296406]
chissà	[3671416, 1765896]
indimenticabile	[4877166]
discarica	[1646130]
timidezza	[1720860]
rotondo	[]
lotteria	[]
dibattito	[1765066, 2147878]
editoriale	[3264147]
motivazione	[715665]
traduttore	[]
cervo	[7223173]
sepolto	[1931689]
zampa	[377220]
collaborazione	[2227490]
appoggio	[1792094, 2465369]
disegno	[3078245]
discendere	[976832, 2056533]
fastidio	[3343479]
incubo	[1468951, 8469475]
negare	[2347180]
benissimo	[1873953, 3013342]
sostituire	[499910]
marciapiede	[4998976, 4998946]
impaziente	[2022773]
leggenda	[]
inoltre	[1758806, 2217608]
mestiere	[1754705, 1850829]
ovviamente	[]
alternare	[3030534]
visitatore	[350408]
inquinamento	[2196491]
copia	[819960, 2576399]
contattare	[1073334]
malanno	[2784771]
bevanda	[3807090]
istituto	[1606313, 538991]
esigente	[3260860, 3260861]
eterno	[1434757]
cercatore	[2453594]
ala	[1762730, 2254374]
subire	[4919303]
canale	[2215527]
cassetto	[4919695, 4887069]
aggiunto	[1743129]
rinchiudere	[2206010]
vantaggioso	[2427736, 380877]
tradizione	[6933506]
annuncio	[]
riscontro	[3672186]
colui	[1326955, 2408979]
abbandonato	[1510625, 1510629]
ripagare	[]
corridoio	[2453995, 439443]
sito	[3239920]
quinto	[839229, 3029139]
parcheggiare	[2268230, 3262861]
vantare	[1454895, 4293378]
goccia	[1160698, 3021788]
fucile	[3483541]
offendere	[]
panna	[2989599, 1549874]
lira	[1200979]
intervistare	[2196057]
tipico	[2193459, 905668]
salmone	[]
impiegare	[1776893, 2028978]
usato	[1449280, 910277]
venditore	[1872128]
ente	[1758490]
obbligo	[1422113]
protestare	[2784692]
rischiare	[1765105, 1445395]
pur	[4849680]
gola	[4522628]
registrare	[666732]
crollo	[3601589, 3601590]
fastidioso	[]
amarezza	[3561437]
preside	[]
rallegrare	[2784799, 2784898]
vespa	[]
trionfo	[1722528]
assicurazione	[350327]
furto	[]
nido	[5172283]
pertanto	[740368, 948080]
imbarazzante	[]
garanzia	[4974539, 3296530]
furbo	[2474495, 3094002]
ammirazione	[4853058, 5562484]
composizione	[]
noia	[1905694, 2796312]
duemila	[3222104, 1880206]
presentazione	[2510606, 1250946]
cosiddetto	[1759560]
recare	[1810949]
antiquario	[6162572]
atteggiamento	[2428407, 2427736]
apparire	[4937226, 3410526]
ufficiale	[2059890]
mostro	[1391473, 1101567]
fosso	[3391582]
liberamente	[1857161, 715201]
inutilmente	[]
ingegneria	[4750138]
fogna	[1874159]
radicalmente	[1718953, 1867382]
mediocre	[2632781]
maestra	[2195736, 2453159]
applicazione	[1166632, 2132684]
costituzione	[637196, 2988232]
arduo	[1758487]
pancetta	[3779038, 3779042]
poster	[538991]
barriera	[2437218]
decorare	[2152280, 2189454]
riversare	[]
sintomo	[1265056]
scherzare	[2272319]
sindaco	[1022999]
concentrazione	[2442466]
sciogliere	[987859]
quotidianamente	[4434530]
cruciverba	[3268774]
scorpione	[6871878]
candidato	[2433713, 1739764]
abile	[1326955]
vincitore	[1265197]
inciampare	[3305074]
sovrano	[876868, 419087]
scavare	[3021788]
usanza	[2197529]
avventura	[2437728, 1187890]
orale	[4518]
professione	[5489729]
finanziamento	[3000700]
cittadinanza	[2054194, 3162309]
esercitare	[2443782]
tirocinio	[]
specificare	[3162241]
cordiale	[2417941]
oggigiorno	[1754705, 7321573]
apatia	[631242]
settanta	[622290, 2055925]
denominare	[3627091]
gratuito	[]
robot	[609456, 3314119]
spostamento	[2213603]
salvo	[3516661]
lusso	[3566763]
attimo	[624971]
sottrarre	[]
circostanza	[4902352, 1816903]
sudare	[3317955, 4266289]
specie	[4886413, 920664]
pralina	[996850]
indubbiamente	[1032489]
manifestare	[749452, 1444212]
danneggiare	[668049, 2449136]
artistico	[3441513]
impoverire	[]
gratuitamente	[4075159]
congresso	[2283512]
ingiustizia	[6954345]
massa	[1166632, 1325453]
sporgere	[]
magico	[]
caloria	[]
rotella	[]
navigazione	[825809]
allarmare	[3369956]
allenare	[5739288, 1809181]
successivamente	[3284010]
evoluzione	[1737231, 3664587]
mortale	[670805]
determinare	[833533]
calmare	[]
esporre	[4295974, 900413]
comunicativo	[2456034]
incuriosire	[2485408, 4544715]
critico	[]
dirigere	[2428284, 7713790]
intuire	[2038912]
concessione	[1758490]
ultimamente	[2189466, 374186]
stimolo	[2437991]
attribuire	[1265056, 6843320]
vizio	[1401354, 937680]
indispensabile	[1795486, 1796055]
bimbo	[]
indagine	[4829573, 1805712]
casuale	[5137060]
arrivato	[5465970]
psiche	[4920805]
informatica	[1416105]
disturbare	[418987, 1828256]
magnifico	[]
burocrazia	[2402142]
preso	[1777062]
cacao	[2429163, 538988]
